,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income,Pop Growth,Income Growth,Pop Growth %,Income Growth %
6,"Akron, OH Metro Area",702966,49936,703398,53418,432,3482,0.06141615415454693,6.972925344440885
9,"Albany-Schenectady-Troy, NY Metro Area",870890,60841,881862,65743,10972,4902,1.244185598200172,8.057066780624908
13,"Albuquerque, NM Metro Area",885683,48990,905049,50781,19366,1791,2.1397736476146596,3.6558481322718923
18,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821273,58111,832790,62479,11517,4368,1.382941677974039,7.51664917141333
23,"Amarillo, TX Metro Area",250224,47866,261827,53665,11603,5799,4.431552131751118,12.115071240546525
27,"Anchorage, AK Metro Area",380789,75196,399360,80724,18571,5528,4.65019030448718,7.351454864620459
30,"Ann Arbor, MI Metro Area",346010,59063,361509,65618,15499,6555,4.287306816704425,11.098318744391582
31,"Appleton, WI Metro Area",225737,59154,233025,63415,7288,4261,3.12756142044845,7.203232241268553
35,"Asheville, NC Metro Area",425219,44249,445625,48159,20406,3910,4.579186535764376,8.836357883793983
43,"Athens-Clarke County, GA Metro Area",193309,41035,202780,42418,9471,1383,4.670578952559424,3.370293651760692
44,"Atlantic City-Hammonton, NJ Metro Area",274402,54559,272926,57514,-1476,2955,-0.5408059327436741,5.4161549881779365
48,"Gainesville, FL Metro Area",264853,42311,277056,45323,12203,3012,4.404524717024717,7.118716173099195
63,"Grand Rapids-Wyoming, MI Metro Area",777159,50491,1039182,58094,262023,7603,25.214351287839857,15.058129171535523
67,"Greeley, CO Metro Area",253552,56589,285729,66489,32177,9900,11.261370039442967,17.494566081747337
68,"Green Bay, WI Metro Area",306758,53206,315847,56831,9089,3625,2.877659119763683,6.813141375032891
70,"Greensboro-High Point, NC Metro Area",724408,43913,751590,47145,27182,3232,3.6165994757780173,7.360007287135928
80,"Hagerstown-Martinsburg, MD-WV Metro Area",269799,52524,261156,58843,-8643,6319,-3.30951615126591,12.030690731855913
83,"Harrisburg-Carlisle, PA Metro Area",548996,57368,565008,60978,16012,3610,2.8339421742700988,6.292706735462279
86,"Hartford-West Hartford-East Hartford, CT Metro Area",1211280,68410,1213123,73209,1843,4799,0.1519219403143787,7.015056278321882
95,"Hickory-Lenoir-Morganton, NC Metro Area",364529,40446,364044,44326,-485,3880,-0.13322565404181913,9.593037630420808
105,"Huntington-Ashland, WV-KY-OH Metro Area",287234,38797,360603,44315,73369,5518,20.346197896301472,14.222749181637756
106,"Huntsville, AL Metro Area",417974,55614,444908,59583,26934,3969,6.053835849209275,7.136692199805804
118,"Jackson, MS Metro Area",540752,45976,578565,49381,37813,3405,6.53565286527875,7.406037932834522
121,"Jacksonville, FL Metro Area",1349130,52881,1447884,56449,98754,3568,6.820574023885892,6.7472249011932455
132,"Johnson City, TN Metro Area",198658,39098,200767,40429,2109,1331,1.050471442019854,3.4042662028748274
137,"Kalamazoo-Portage, MI Metro Area",326853,45612,335020,51319,8167,5707,2.4377649095576386,12.512058230290274
139,"Kansas City, MO-KS Metro Area",2035166,56826,2088830,61479,53664,4653,2.569093703173547,8.188153310104529
149,"Kingsport-Bristol-Bristol, TN-VA Metro Area",308899,38925,306745,41558,-2154,2633,-0.7022119349948654,6.764290301862556
155,"Knoxville, TN Metro Area",699097,46422,862490,49820,163393,3398,18.94433558649955,7.319805264745163
158,"Lafayette, LA Metro Area",273945,48185,487633,49514,213688,1329,43.821480498653706,2.758119746809173
161,"Lake Charles, LA Metro Area",199241,44924,205559,48481,6318,3557,3.07357011855477,7.91781675718992
163,"Lake Havasu City-Kingman, AZ Metro Area",201216,39383,204691,41567,3475,2184,1.6976808946167636,5.545539953787167
164,"Lakeland-Winter Haven, FL Metro Area",604562,43606,652256,45988,47694,2382,7.312159642839622,5.462551025088291
166,"Lancaster, PA Metro Area",519913,56172,536494,61492,16581,5320,3.090621703131815,9.470910774051129
167,"Lansing-East Lansing, MI Metro Area",464458,50185,472092,53710,7634,3525,1.6170576921447515,7.024011158712764
169,"Laredo, TX Metro Area",250320,38421,269624,40442,19304,2021,7.159600035605139,5.260144191978345
170,"Las Cruces, NM Metro Area",208794,38462,213849,39114,5055,652,2.363817459983446,1.6951796578441056
186,"Lexington-Fayette, KY Metro Area",472974,49497,500689,54436,27715,4939,5.535372257029813,9.978382528234034
190,"Lincoln, NE Metro Area",303154,52320,323402,56132,20248,3812,6.260938398649358,7.2859327217125385
191,"Little Rock-North Little Rock-Conway, AR Metro Area",700952,48377,730346,51362,29394,2985,4.024667760212283,6.170287533331955
196,"Longview, TX Metro Area",214048,45565,216934,48359,2886,2794,1.3303585422294337,6.131899484253264
199,"Louisville/Jefferson County, KY-IN Metro Area",1284195,49435,1278203,54624,-5992,5189,-0.4687831275626798,10.49661171234955
200,"Lubbock, TX Metro Area",284439,43800,309722,48709,25283,4909,8.163126933185245,11.207762557077626
203,"Lynchburg, VA Metro Area",252560,45953,258995,50711,6435,4758,2.4846039498832027,10.354057406480534
206,"Madison, WI Metro Area",570687,61006,640072,66609,69385,5603,10.840186728992988,9.184342523686196
210,"Manchester-Nashua, NH Metro Area",401101,70472,406371,75777,5270,5305,1.2968445090816028,7.527812464524917
230,"McAllen-Edinburg-Mission, TX Metro Area",774820,33218,839539,37097,64719,3879,7.708873560370632,11.677403817207537
235,"Medford, OR Metro Area",203613,43664,212070,48688,8457,5024,3.9878342056868012,11.50604617075852
236,"Memphis, TN-MS-AR Metro Area",1317314,47477,1344058,50194,26744,2717,1.9897950832478954,5.72277102597047
238,"Merced, CA Metro Area",256398,43565,267390,46338,10992,2773,4.110849321216201,6.365201423160795
247,"Milwaukee-Waukesha-West Allis, WI Metro Area",1554593,53966,1575101,57531,20508,3565,1.3020117440087968,6.606011192232146
249,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3290811,66751,3526149,73735,235338,6984,6.674079853120217,10.462764602777487
254,"Mobile, AL Metro Area",412297,42973,414328,45802,2031,2829,0.4901913459867544,6.58320340679031
255,"Modesto, CA Metro Area",515115,49866,535684,54260,20569,4394,3.839763741310175,8.8116151285445
258,"Montgomery, AL Metro Area",374600,47317,373507,49089,-1093,1772,-0.29263173113221436,3.744954244774605
273,"Augusta-Richmond County, GA-SC Metro Area",556938,45762,589519,49064,32581,3302,5.526709062812225,7.215593724050522
279,"Barnstable Town, MA Metro Area",216021,60424,213900,68048,-2121,7624,-0.9915848527349228,12.61750297894876
285,"Baton Rouge, LA Metro Area",802389,51383,828741,55329,26352,3946,3.1797630381506403,7.679582741373606
290,"Beaumont-Port Arthur, TX Metro Area",388430,45955,408663,48962,20233,3007,4.951023214727049,6.543357632466543
295,"Bellingham, WA Metro Area",201404,51639,212738,56419,11334,4780,5.327680057159511,9.25656964697225
303,"Binghamton, NY Metro Area",250995,48114,245446,50673,-5549,2559,-2.260782412424729,5.318618281581244
304,"Birmingham-Hoover, AL Metro Area",1128093,48420,1144097,52088,16004,3668,1.3988324416548599,7.575382073523337
316,"Boulder, CO Metro Area",297218,67403,316782,75669,19564,8266,6.17585595141138,12.263549100188419
322,"Bremerton-Silverdale, WA Metro Area",251400,61776,258903,68336,7503,6560,2.8979965469693285,10.619010619010618
325,"Bridgeport-Stamford-Norwalk, CT Metro Area",918892,82614,947328,89773,28436,7159,3.001705850560735,8.66560147190549
330,"Brownsville-Harlingen, TX Metro Area",405819,32558,420201,36095,14382,3537,3.4226477328706975,10.863689415811782
337,"Burlington-South Burlington, VT Metro Area",211581,61603,216751,65476,5170,3873,2.3852254430198707,6.287031475739818
346,"Canton-Massillon, OH Metro Area",404421,45419,402098,50217,-2323,4798,-0.5777198593377734,10.563860939254498
347,"Cape Coral-Fort Myers, FL Metro Area",624155,48453,700165,52052,76010,3599,10.856012511336614,7.4278166470600375
352,"Cedar Rapids, IA Metro Area",258684,56542,266122,62399,7438,5857,2.7949587031511864,10.358671430087368
358,"Champaign-Urbana, IL Metro Area",231655,46830,237849,50720,6194,3890,2.6041732359606304,8.306641042067051
359,"Charleston, WV Metro Area",303995,46053,219964,45155,-84031,-898,-38.20216035351239,-1.9499272577247952
361,"Charlottesville, VA Metro Area",201909,59526,228825,63486,26916,3960,11.762700753851195,6.652555185969157
362,"Chattanooga, TN-GA Metro Area",528667,44306,548359,49471,19692,5165,3.5910781075901004,11.657563309709746
364,"Chico, CA Metro Area",220101,43339,225207,46516,5106,3177,2.2672474656649215,7.330579847250744
368,"Clarksville, TN-KY Metro Area",274404,45192,278844,50369,4440,5177,1.592288161122348,11.455567357054345
379,"College Station-Bryan, TX Metro Area",227843,38599,248554,45078,20711,6479,8.33259573372386,16.785408948418354
380,"Colorado Springs, CO Metro Area",645979,57549,698595,62751,52616,5202,7.531688603554276,9.03925350570818
382,"Columbia, SC Metro Area",767299,49200,808377,52728,41078,3528,5.081539925059719,7.170731707317072
383,"Columbus, GA-AL Metro Area",297618,41971,309979,44209,12361,2238,3.9876894886427787,5.332253222463129
387,"Columbus, OH Metro Area",1840267,54628,2023695,60170,183428,5542,9.064014093032794,10.144980596031338
396,"Corpus Christi, TX Metro Area",429311,47108,450183,52883,20872,5775,4.636336778598926,12.259064277829667
403,"Crestview-Fort Walton Beach-Destin, FL Metro Area",183400,54118,261048,57421,77648,3303,29.744721277312987,6.103329760892864
407,"Dallas-Fort Worth-Arlington, TX Metro Area",6400781,58190,7104415,63870,703634,5680,9.904179302588602,9.761127341467606
411,"Davenport-Moline-Rock Island, IA-IL Metro Area",379735,51005,383141,54629,3406,3624,0.8889677690458604,7.105185766101362
412,"Dayton, OH Metro Area",842459,47421,800893,51204,-41566,3783,-5.189956710821545,7.977478332384387
418,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",495581,43419,623675,45016,128094,1597,20.53858179340201,3.6781132683848083
421,"Des Moines-West Des Moines, IA Metro Area",571592,59898,623113,65971,51521,6073,8.268323722984434,10.138902801429097
431,"Duluth, MN-WI Metro Area",279417,46864,279205,51785,-212,4921,-0.07592987231604019,10.500597473540457
437,"Durham-Chapel Hill, NC Metro Area",506459,52143,550281,57600,43822,5457,7.963567704500065,10.465450779586906
449,"Elkhart-Goshen, IN Metro Area",198214,46712,202924,52449,4710,5737,2.321066014862707,12.281640691899298
453,"El Paso, TX Metro Area",801115,39699,838527,43170,37412,3471,4.461633316518132,8.743293281946649
455,"Erie, PA Metro Area",280181,45249,277794,48192,-2387,2943,-0.8592698186425912,6.504011138367699
460,"Evansville, IN-KY Metro Area",358402,47577,315263,49873,-43139,2296,-13.68349600175092,4.825861235470921
465,"Fargo, ND-MN Metro Area",209177,51411,232660,59074,23483,7663,10.093269148113126,14.9053704460135
469,"Fayetteville, NC Metro Area",366697,45572,385337,44883,18640,-689,4.837324212312859,-1.511893267796015
470,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",464729,46428,514166,52551,49437,6123,9.614988155576215,13.188162315843888
476,"Flint, MI Metro Area",425337,42730,410881,45231,-14456,2501,-3.518293617860159,5.853030657617599
477,"Florence, SC Metro Area",205214,40639,206109,40888,895,249,0.43423625363278656,0.6127119269667068
487,"Fort Smith, AR-OK Metro Area",297576,38652,280705,40686,-16871,2034,-6.010224256782031,5.262340887923005
488,"Fort Wayne, IN Metro Area",416851,50082,429060,51642,12209,1560,2.8455227707080595,3.114891577812388
495,"Fresno, CA Metro Area",930517,45741,971616,48730,41099,2989,4.229963277673484,6.53461883211998
506,"Toledo, OH Metro Area",651532,45078,605204,48284,-46328,3206,-7.654939491477254,7.1121167753671415
507,"Topeka, KS Metro Area",233473,49780,233382,55194,-91,5414,-0.03899186741051152,10.875853756528727
512,"Tucson, AZ Metro Area",981048,46443,1007257,48676,26209,2233,2.60201716145929,4.808044269319381
513,"Tulsa, OK Metro Area",936717,48338,977869,52210,41152,3872,4.208334654232827,8.01026107824072
515,"Tuscaloosa, AL Metro Area",219071,41557,239589,48344,20518,6787,8.563832229359445,16.331785258801165
517,"Tyler, TX Metro Area",209691,47312,222277,50742,12586,3430,5.662304242004346,7.249746364558675
521,"Utica-Rome, NY Metro Area",298811,47949,295267,50814,-3544,2865,-1.200269586509837,5.9750985422010885
524,"Vallejo-Fairfield, CA Metro Area",414209,69006,434981,72950,20772,3944,4.775380993652596,5.71544503376518
534,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1674571,59293,1717708,61889,43137,2596,2.511311584972533,4.378257129846694
535,"Visalia-Porterville, CA Metro Area",441877,43803,458809,44871,16932,1068,3.690424555751958,2.438189165125676
537,"Waco, TX Metro Area",234626,41589,263009,45721,28383,4132,10.791645913257721,9.935319435427639
546,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5603696,89826,6090196,97148,486500,7322,7.988248654066306,8.15131476409948
558,"Wichita, KS Metro Area",621281,50511,642339,53953,21058,3442,3.2783312238553166,6.814357268713746
563,"Wilmington, NC Metro Area",363648,48182,277496,51137,-86152,2955,-31.046213278749963,6.132995724544435
568,"Winston-Salem, NC Metro Area",478029,45356,658195,47099,180166,1743,27.37273908188303,3.842931475438751
572,"Yakima, WA Metro Area",242454,44256,248279,47470,5825,3214,2.3461509028149785,7.262292118582792
574,"York-Hanover, PA Metro Area",434579,58747,442216,61707,7637,2960,1.7269840982687195,5.038555160263503
575,"Youngstown-Warren-Boardman, OH-PA Metro Area",564768,42224,548821,44947,-15947,2723,-2.9056832737814333,6.448938992042439
577,"Yuma, AZ Metro Area",196420,41156,204281,43253,7861,2097,3.8481307610595215,5.09524735154048
588,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1595454,52779,1830410,59365,234956,6586,12.836249801956939,12.478447867523068
594,"New Haven-Milford, CT Metro Area",860995,62234,862127,64872,1132,2638,0.1313031606712236,4.238840505190089
606,"Norwich-New London, CT Metro Area",273723,68310,270772,69411,-2951,1101,-1.0898468083849142,1.6117698726394378
608,"Ocala, FL Metro Area",331987,39770,343778,41964,11791,2194,3.4298297156886126,5.51672114659291
611,"Ogden-Clearfield, UT Metro Area",547089,62637,642274,68558,95185,5921,14.819998941261828,9.45287928859939
615,"Oklahoma City, OK Metro Area",1256947,49534,1353504,54946,96557,5412,7.133854055843204,10.92582872370493
617,"Omaha-Council Bluffs, NE-IA Metro Area",866454,56727,914190,62345,47736,5618,5.221671643750205,9.903573254358594
621,"Orlando-Kissimmee-Sanford, FL Metro Area",2147534,49263,2390859,52261,243325,2998,10.177304475086151,6.085703266142947
629,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",822794,76483,847834,81972,25040,5489,2.953408332291463,7.17675823385589
634,"Palm Bay-Melbourne-Titusville, FL Metro Area",544019,49099,568183,51536,24164,2437,4.25285515406128,4.963441210615287
643,"Pensacola-Ferry Pass-Brent, FL Metro Area",451950,48489,476702,51926,24752,3437,5.192342385809163,7.088205572397864
644,"Peoria, IL Metro Area",378886,53925,377258,57301,-1628,3376,-0.4315349177485965,6.26054705609643
646,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5967349,61927,6065644,66285,98295,4358,1.6205204261905248,7.037318132640044
651,"Pittsburgh, PA Metro Area",2357981,50182,2348143,56073,-9838,5891,-0.4189693728192874,11.739269060619344
660,"Ponce, PR Metro Area",242280,17225,316625,16736,74345,-489,23.480457954994076,-2.8388969521044993
665,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2232607,57896,2382037,66657,149430,8761,6.273202305421788,15.132306204228271
666,"Port St. Lucie, FL Metro Area",424743,45874,454482,50045,29739,4171,6.543493471688648,9.09229628983738
669,"Prescott, AZ Metro Area",211280,43652,220972,48259,9692,4607,4.386076063935702,10.553926509667368
672,"Provo-Orem, UT Metro Area",526804,59594,587190,66742,60386,7148,10.283894480491835,11.994496090210424
680,"Reading, PA Metro Area",411094,55021,415500,59580,4406,4559,1.0604091456077016,8.285927191435997
686,"Richmond, VA Metro Area",1260202,58577,1270158,63599,9956,5022,0.7838394908349984,8.573330829506462
688,"Riverside-San Bernardino-Ontario, CA Metro Area",4234011,55928,4476222,59173,242211,3245,5.411058700841916,5.802102703475898
690,"Roanoke, VA Metro Area",308238,49264,313069,52609,4831,3345,1.5431103047570984,6.789948035076324
693,"Rochester, MN Metro Area",186214,65145,214485,69003,28271,3858,13.180875119472224,5.922173612710108
694,"Rochester, NY Metro Area",1054160,53155,1080653,55256,26493,2101,2.4515732617223103,3.952591477753739
695,"Rockford, IL Metro Area",348574,49752,341150,52360,-7424,2608,-2.176168840685915,5.242000321595111
711,"St. Louis, MO-IL Metro Area",2810367,54109,2804998,59046,-5369,4937,-0.19140833612002575,9.124175275832117
714,"Salem, OR Metro Area",390839,47687,410119,54304,19280,6617,4.701074566162504,13.875899091995722
716,"Salinas, CA Metro Area",416199,60143,433168,63249,16969,3106,3.917417722454106,5.1643582794340155
717,"Salt Lake City, UT Metro Area",1126982,60329,1170057,67838,43075,7509,3.681444579195715,12.44675031908369
719,"San Antonio-New Braunfels, TX Metro Area",2149153,51208,2377507,56495,228354,5287,9.604766673662791,10.324558662708952
721,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1843860,89940,1969897,105809,126037,15869,6.398151781539847,17.643984878808094
722,"Santa Cruz-Watsonville, CA Metro Area",262340,66571,273263,73663,10923,7092,3.997248072369842,10.653287467515886
726,"Savannah, GA Metro Area",349163,49243,377476,55021,28313,5778,7.500609310260785,11.733647421968604
731,"Seattle-Tacoma-Bellevue, WA Metro Area",3453748,67437,3735216,77269,281468,9832,7.5355213727934345,14.579533490517074
748,"Shreveport-Bossier City, LA Metro Area",399407,43799,443974,42572,44567,-1227,10.038200435160617,-2.801433822690016
753,"Sioux Falls, SD Metro Area",229333,56135,250564,62047,21231,5912,8.473284270685335,10.531753807784805
757,"South Bend-Mishawaka, IN-MI Metro Area",319197,45056,320010,48681,813,3625,0.2540545607949752,8.045543323863637
758,"Spartanburg, SC Metro Area",284540,43421,325504,46431,40964,3010,12.58479158474243,6.932129614702563
762,"Springfield, IL Metro Area",210202,55588,210550,58956,348,3368,0.16528140584184278,6.058861624811111
763,"Springfield, MA Metro Area",694411,52395,630385,55306,-64026,2911,-10.156650301006529,5.555873652066037
764,"Springfield, MO Metro Area",437188,43333,455133,45326,17945,1993,3.9428035321543375,4.59926614820114
782,"Syracuse, NY Metro Area",661211,52230,659262,56305,-1949,4075,-0.2956336024221023,7.8020294849703244
785,"Tallahassee, FL Metro Area",368342,45027,377674,48618,9332,3591,2.4709140687471205,7.975214871077354
786,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2793814,46606,2978209,50567,184395,3961,6.191472794555385,8.498905720293525
